sector,link,Ministry/Organization Name,id
"Finance, Banking & Insurance",https://tax.lsgkerala.gov.in,"SANCHAYA - Revenue and Licence System, Kerala",226
"Finance, Banking & Insurance",https://www.drt1chennai.tn.nic.in,"Debts Recovery Tribunal No 1, Chennai",228
"Finance, Banking & Insurance",https://ccobz.gov.in/posting.html,"Customs and Central Excise, Bhopal",229
"Finance, Banking & Insurance",https://dggi.gov.in,"Directorate General of Goods and Services Tax Intelligence (DGGI, CBIC)",231
"Finance, Banking & Insurance",https://ocamp.gov.in,"Odisha Central Audit Management Portal (OCAMP), Odisha",233
"Finance, Banking & Insurance",https://apfinance.gov.in/FirstPage.do,"Finance Department, Andhra Pradesh",234
"Finance, Banking & Insurance",https://www.onlineservices.nsdl.com,Online Refund Status for Taxpayers,235
"Finance, Banking & Insurance",https://treasuries.up.nic.in,"Directorate of Treasuries, Uttar Pradesh",236
"Finance, Banking & Insurance",https://tirupaticentralexcise.gov.in,"Customs, Central Excise and Service Tax Commissionorate, Tirupati",237
"Finance, Banking & Insurance",https://pondycentralexcise.gov.in,"Central Excise, Puducherry",238
"Finance, Banking & Insurance",https://www.dif.mp.gov.in,"Directorate of Institutional Finance, Madhya Pradesh",239
"Finance, Banking & Insurance",https://arcestathyd.nic.in,"Customs, Excise and Service Tax Appellate Tribunal (CESTAT), Hyderabad",240
"Finance, Banking & Insurance",https://ladakh.nic.in/finance-department-2,"Finance Department, Ladakh",241
"Finance, Banking & Insurance",https://nagalandtax.nic.in,"Department of Taxes, Nagaland",242
"Finance, Banking & Insurance",https://etenders.chd.nic.in,"e-Procurement Portal, Chandigarh",243
"Finance, Banking & Insurance",https://www.rbi.org.in,Reserve Bank of India (RBI),244
"Finance, Banking & Insurance",https://trichycustomszone.gov.in,"Chief Commissioner of Customs (Preventive), Tiruchirappalli",245
"Finance, Banking & Insurance",https://www.enforcementdirectorate.gov.in,Directorate of Enforcement,246
"Finance, Banking & Insurance",https://sikkimtender.gov.in,"eProcurement System, Sikkim",247
"Finance, Banking & Insurance",https://atfp.gov.in,Appellate Tribunal for Forfeited Property (ATFP),248
"Finance, Banking & Insurance",https://revenuetribunal.gujarat.gov.in,"Gujarat Revenue Tribunal, Gujarat",249
"Finance, Banking & Insurance",https://ptax.tripura.gov.in,"Professions Tax - Commissionerate of Taxes & Excise, Tripura",250
"Finance, Banking & Insurance",https://icmai.in,Institute of Cost Accountants of India,251
"Finance, Banking & Insurance",https://sevaarth.mahakosh.gov.in,"Sevaarth Mahakosh, Maharashtra",252
"Finance, Banking & Insurance",https://registrarfirms.mp.gov.in,"Registrar, Firms and Societies, Madhya Pradesh",253
"Finance, Banking & Insurance",https://ewaybillgst.gov.in,e-Way Bill System-One Nation One e-Way Bill for movement of Goods throughout the Country,255
"Finance, Banking & Insurance",https://jktenders.gov.in,"eProcurement System, Jammu and Kashmir",256
"Finance, Banking & Insurance",https://www.nic.in/,National Informatics Centre,257
"Finance, Banking & Insurance",https://gstludhiana.gov.in,"Central Excise and Service Tax Commissionerate, Ludhiana",258
"Finance, Banking & Insurance",https://www.nsiindia.gov.in,National Savings Institute (NSI),259
"Finance, Banking & Insurance",https://e-gpf.bihar.gov.in,"Online Government Receipt Account System, Bihar",260
"Finance, Banking & Insurance",https://freesearchigrservice.maharashtra.gov.in,"e-Search Portal - Department of Registration & Stamps, Maharashtra",261
"Finance, Banking & Insurance",https://wbcomtax.gov.in,"Directorate of Commercial Taxes, West Bengal",262
"Finance, Banking & Insurance",https://rfsfinance.assam.gov.in,"Registrar of Firms & Societies, Assam",264
"Finance, Banking & Insurance",https://smallsavings.assam.gov.in,"Directorate of Small Savings, Assam",265
"Finance, Banking & Insurance",https://osbc.co.in,"Odisha State Beverages Corporation Limited (OSBCL), Odisha",266
"Finance, Banking & Insurance",https://crcs.gov.in,Central Registrar of Cooperative Societies,267
"Finance, Banking & Insurance",https://ccobz.gov.in,"Office of the Chief Commissioner, Customs, Central Excise and Service Tax, Bhopal",268
"Finance, Banking & Insurance",https://www.esic.nic.in,Employees State Insurance Corporation (ESIC),269
"Finance, Banking & Insurance",https://www.tn.gov.in/dop,Directorate of Pension Tamil Nadu,270
"Finance, Banking & Insurance",https://delhicustoms.gov.in,Delhi Customs,271
"Finance, Banking & Insurance",https://ices.nic.in,Indian Customs Electronic Data Interchange System,272
"Finance, Banking & Insurance",https://www.tendersodisha.gov.in,"eProcurement System, Odisha",273
"Finance, Banking & Insurance",https://apcustoms.gov.in,"Customs Preventive Commissionerate, Central Board of Excise and Customs, Vijayawada",274
"Finance, Banking & Insurance",https://esis.odisha.gov.in,"Employees State Insurance Corporation (ESIC), Odisha",275
"Finance, Banking & Insurance",https://dfc.delhi.gov.in,Delhi Financial Corporation,276
"Finance, Banking & Insurance",https://www.tn.gov.in/coopaudit,"Co-operative Audit Department, Tamil Nadu",277
"Finance, Banking & Insurance",https://www.cexchd1.gov.in,"Commissioner(Appeals), Goods and Service Tax (GST) Commissionerate, Chandigarh",279
"Finance, Banking & Insurance",https://spmnarmadapuram.spmcil.com,Security Printing & Minting Corporation of India Limited,281
"Finance, Banking & Insurance",https://www.incometaxindia.gov.in,Income Tax Department,282
"Finance, Banking & Insurance",https://udgam.rbi.org.in,UDGAM-Unclaimed Deposits Gateway to Access Information,283
"Finance, Banking & Insurance",https://arunaccounts.nic.in,"Treasury and Accounts Administration Department, Arunachal Pradesh",284
"Finance, Banking & Insurance",https://tinxsys.com,"Tax Information Exchange System, Delhi",286
"Finance, Banking & Insurance",https://drtcbe.tn.nic.in,"Debts Recovery Tribunal, Coimbatore",287
"Finance, Banking & Insurance",https://ekosh.uk.gov.in,"Directorate of Treasuries, Pension & Entitlements, Uttarakhand",289
"Finance, Banking & Insurance",https://uttarakhandaudit.uk.gov.in,"Directorate of Audit, Uttarakhand",290
"Finance, Banking & Insurance",https://cgstjaipur.gov.in,"Central Goods & Services Tax, Jaipur Zone, Rajasthan",291
"Finance, Banking & Insurance",https://www.cbicddm.gov.in,"Directorate of Data Management (DDM, CBIC)",292
"Finance, Banking & Insurance",https://gstchennai.gov.in,"Office of the Principal Chief Commissioner of GST & Central Excise Tamil Nadu & Puducherry Zone, Puducherry",293
"Finance, Banking & Insurance",https://cac.gov.in,Chief Adviser Cost,294
"Finance, Banking & Insurance",https://bangalorecustoms.gov.in,Bengaluru Customs Zone,295
"Finance, Banking & Insurance",https://scores.gov.in,"Sebi COmplaints and REdress System (SCORES), Securities and Exchange Board of India (SEBI)",296
"Finance, Banking & Insurance",https://ifms.raj.nic.in,"Integrated Financial Management System, Rajasthan",298
