sector,organization_link,result_count,link,text
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cbec-gst.gov.in,"Goods and Services Tax, Central Board of Excise and Customs (GST, CBEC)"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.drt2chennai.tn.nic.in,"Debts Recovery Tribunal No 2, Chennai"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cexstshillong.gov.in,"Central Excise, Shillong"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://vat.goa.gov.in,"Commercial Taxes Department, Goa"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.newindia.co.in,New India Assurance Co. Ltd
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://pensionmanipur.nic.in,"Online Pension Payment System, Manipur"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://budget.up.nic.in,"Budget, Uttar Pradesh"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.jawaharcustoms.gov.in,Jawaharlal Nehru Custom House
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://swachhatahiseva.gov.in,Swachhata Hi Seva 2024
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://incometaxindia.gov.in/pages/about-us/central-board-of-direct-taxation.aspx,Central Board of Direct Taxes (CBDT)
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.kolkatacustoms.gov.in,Kolkata Customs
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://nagalandtenders.gov.in,"eProcurement System, Nagaland"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://igod.gov.in,
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cgstranchi.gov.in/dhnbad_area.php,"Dhanbad Commissionerate, Central Excise and Service Tax"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://tnincometax.gov.in,"Income Tax Department, Tamil Nadu and Pudhucherry"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://gsfc.gujarat.gov.in,"Gujarat State Financial Corporation, Gujarat"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://incometaxrajasthan.gov.in,"Income Tax Department, Rajasthan"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://revenueappeals.gujarat.gov.in,"Special Secretary (Disputes), Gujarat"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.gstvdr2.gov.in,"Commissionerate of Central Excise and Customs, Vadodara - II"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.drat.tn.nic.in,"Debt Recovery Appellate Tribunal (DRAT), Chennai"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cgstvdr1.gov.in,"Central GST & Central Excise Commissionerate, Vadodara-I, Gujarat"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.nic.in/,
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://manipurtenders.gov.in,"eProcurement System, Manipur"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://naaa.nic.in,"National Academy of Audit and Accounts, Shimla, HP, India"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://web.merabill.gst.gov.in,Mera Bill Mera Adhikaar
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://igod.gov.in/link_to_us,Link
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://gstdelhizone.gov.in,"Goods and Services Tax and Central Excise (GST), Delhi Zone"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cenexbhavnagar.nic.in,"Central Board of Excise and Customs (CBEC), Bhavnagar"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://dghrdcbic.gov.in,Directorate General of Human Resource Development
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://einvoice1.gst.gov.in,e-Invoice System
